Index,EntryIndex,Timestamp,ServingCellID,CellIdentity,CellObjectID,Num_Active_UEs,Avg_Serving_RSRP,Avg_Serving_RSRQ,Avg_Serving_SINR,Avg_Serving_TxPower,Num_Neighbor_Cells,Neighbor_Avg_RSRP,Neighbor_Avg_RSRQ,Neighbor_Avg_SINR,Avg_DynLoad,Avg_DynMobility
1,3,80 01:33:00.850,5,131-13335000000,NRCellCU,2,64,95.5,29.5,30,10,0,0,5,0,0
1,4,80 04:21:33.489,13,131-13331330000,NRCellCU,1,97,33,52,30,8,0,0,2,0,0
1,5,80 04:21:33.490,8,131-13338000000,NRCellCU,1,97,127,55,30,8,0,0,2.25,0,0
1,6,80 04:21:33.490,13,131-13331330000,NRCellCU,2,60,36,45,30,9,0,0,3.9375,0,0
1,7,80 04:21:33.491,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,8,80 04:21:33.491,9,131-13339000000,NRCellCU,3,74.66666666666667,99,39,30,11,0,0,2.5,0,1
1,9,80 04:21:33.491,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,10,80 04:21:33.493,9,131-13339000000,NRCellCU,3,60,92.66666666666667,53.333333333333336,30,10,0,0,2.4583333333333335,0,3
1,11,80 04:21:33.493,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,12,80 04:21:33.493,9,131-13339000000,NRCellCU,4,78.75,100.5,43.25,30,12,0,0,4.59375,0,4
1,13,80 04:21:33.493,5,131-13335000000,NRCellCU,2,73.5,127,50,30,10,0,0,7.125,0,4
1,14,80 04:21:33.494,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,15,80 04:21:33.494,12,131-13331320000,NRCellCU,1,97,68,19,30,8,0,0,1.875,0,0
1,16,80 04:21:33.494,12,131-13331320000,NRCellCU,1,65,21,15,30,8,0,0,2.25,0,0
1,17,80 04:21:33.495,12,131-13331320000,NRCellCU,1,8,53,16,30,8,0,0,2.25,0,0
1,18,80 04:21:33.496,12,131-13331320000,NRCellCU,1,97,5,16,30,8,0,0,5,0,0
1,19,80 04:21:33.497,9,131-13339000000,NRCellCU,4,73.75,127,43,0,12,0,0,3.875,0,12
1,20,80 04:21:33.497,7,131-13337000000,NRCellCU,4,97,126.75,23.5,30,13,0,0,2.25,0,5
1,21,80 04:21:33.497,12,131-13331320000,NRCellCU,1,97,127,10,30,8,0,0,4.75,0,0
1,22,80 04:21:33.498,14,131-13331340000,NRCellCU,1,97,23,43,30,8,0,0,2.125,0,0
1,23,80 04:21:33.498,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,24,80 04:21:33.499,13,131-13331330000,NRCellCU,3,96.66666666666667,111.66666666666667,11.333333333333334,30,11,0,0,2.75,0,12
1,25,80 04:21:33.499,7,131-13337000000,NRCellCU,4,64.5,97.5,19.75,0,13,0,0,1.84375,0,10
1,26,80 04:21:33.499,13,131-13331330000,NRCellCU,3,77.66666666666667,93,19,30,11,0,0,2.625,0,12
1,27,80 04:21:33.500,13,131-13331330000,NRCellCU,3,81,98.33333333333333,18.333333333333332,30,12,0,0,2.5833333333333335,0,12
1,28,80 04:21:33.500,5,131-13335000000,NRCellCU,4,77.75,107,42.25,0,12,0,0,3.5625,0,11
1,29,80 04:21:33.500,14,131-13331340000,NRCellCU,2,97,127,45.5,30,9,0,0,3.9375,0,0
1,30,80 04:21:33.500,9,131-13339000000,NRCellCU,4,55.75,119.75,39,0,13,0,0,2.625,0,20
1,31,80 04:21:33.500,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,32,80 04:21:33.501,9,131-13339000000,NRCellCU,4,64.25,118.25,36.25,0,13,0,0,3.0625,0,20
1,33,80 04:21:33.501,14,131-13331340000,NRCellCU,2,97,37,38,30,9,0,0,2.375,0,0
1,34,80 04:21:33.501,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,35,80 04:21:33.502,5,131-13335000000,NRCellCU,4,84.75,100.5,34,0,13,0,0,3.3125,0,14
1,36,80 04:21:33.502,14,131-13331340000,NRCellCU,2,60.5,88,43.5,30,9,0,0,3,0,1
1,37,80 04:21:33.502,12,131-13331320000,NRCellCU,2,56,64.5,8.5,30,11,0,0,1.25,0,0
1,38,80 04:21:33.503,2,131-13332000000,NRCellCU,3,58.666666666666664,64.33333333333333,34.333333333333336,0,12,0,0,2.5,0,32
1,39,80 04:21:33.503,9,131-13339000000,NRCellCU,4,56,86.25,45.25,0,13,0,0,3.28125,0,20
1,40,80 04:21:33.503,12,131-13331320000,NRCellCU,2,58,78.5,12.5,30,10,0,0,1.6875,0,1
1,41,80 04:21:33.503,8,131-13338000000,NRCellCU,3,58,70.66666666666667,36.333333333333336,30,10,0,0,3.4166666666666665,0,1
1,42,80 04:21:33.504,12,131-13331320000,NRCellCU,2,55,127,12,30,9,0,0,1.4375,0,1
1,43,80 04:21:33.504,13,131-13331330000,NRCellCU,3,67,127,16.666666666666668,30,12,0,0,2.0833333333333335,0,12
1,44,80 04:21:33.504,2,131-13332000000,NRCellCU,3,70.33333333333333,81,34.333333333333336,0,12,0,0,2.375,0,28
1,45,80 04:21:33.505,7,131-13337000000,NRCellCU,4,72.75,97.75,23.5,30,12,0,0,2.09375,0,11
1,46,80 04:21:33.505,7,131-13337000000,NRCellCU,4,65.5,61.75,19.25,30,13,0,0,2.59375,0,11
1,47,80 04:21:33.505,14,131-13331340000,NRCellCU,2,87,61.5,46.5,30,10,0,0,2.125,0,1
1,48,80 04:21:33.505,13,131-13331330000,NRCellCU,3,97,127,31.333333333333332,30,12,0,0,3.0833333333333335,0,10
1,49,80 04:21:33.506,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,50,80 04:21:33.506,13,131-13331330000,NRCellCU,3,56.333333333333336,92,25,30,12,0,0,3.375,0,10
1,51,80 04:21:33.506,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,52,80 04:21:33.507,12,131-13331320000,NRCellCU,2,97,75.5,31.5,30,10,0,0,1.625,0,1
1,53,80 04:21:33.507,14,131-13331340000,NRCellCU,2,12,49.5,34.5,30,9,0,0,2.9375,0,1
1,54,80 04:21:33.507,12,131-13331320000,NRCellCU,2,97,108.5,15.5,30,10,0,0,2.125,0,1
1,55,80 04:21:33.508,13,131-13331330000,NRCellCU,2,97,127,14,30,9,0,0,2.25,0,5
1,56,80 04:21:33.509,2,131-13332000000,NRCellCU,4,79,106,24.5,30,11,0,0,3.6875,0,13
1,57,80 04:21:33.510,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,58,80 04:21:33.510,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,59,80 04:21:33.510,13,131-13331330000,NRCellCU,3,54.666666666666664,101.33333333333333,25.333333333333332,30,9,0,0,3.0833333333333335,0,3
1,60,80 04:21:33.510,9,131-13339000000,NRCellCU,4,72.75,102.75,52.5,0,12,0,0,4.4375,0,3
1,61,80 04:21:33.510,13,131-13331330000,NRCellCU,3,97,64.66666666666667,9.333333333333334,0,10,0,0,2.25,0,2
1,62,80 04:21:33.510,2,131-13332000000,NRCellCU,3,97,127,32.333333333333336,30,11,0,0,2.125,0,8
1,63,80 04:21:33.510,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,64,80 04:21:33.511,11,131-13331310000,NRCellCU,1,68,75,44,30,8,0,0,5.375,0,0
1,65,80 04:21:33.511,12,131-13331320000,NRCellCU,2,58.5,86.5,17.5,30,10,0,0,2.8125,0,2
1,66,80 04:21:33.511,8,131-13338000000,NRCellCU,3,87,127,35,30,12,0,0,3.6666666666666665,0,7
1,67,80 04:21:33.511,2,131-13332000000,NRCellCU,3,97,88.33333333333333,36,30,11,0,0,2,0,8
1,68,80 04:21:33.512,8,131-13338000000,NRCellCU,2,97,46,35.5,30,10,0,0,2.5,0,7
1,69,80 04:21:33.512,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,70,80 04:21:33.512,9,131-13339000000,NRCellCU,4,97,127,41.75,0,11,0,0,4.71875,0,2
1,71,80 04:21:33.513,13,131-13331330000,NRCellCU,2,97,127,8.5,0,10,0,0,2.1875,0,3
1,72,80 04:21:33.513,15,131-13331350000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
1,73,80 04:21:33.513,12,131-13331320000,NRCellCU,2,86,105.5,24,30,10,0,0,1.75,0,2
1,74,80 04:21:33.513,8,131-13338000000,NRCellCU,2,62.5,127,36.5,30,10,0,0,1.9375,0,7
1,75,80 04:21:33.513,13,131-13331330000,NRCellCU,2,97,127,8.5,0,9,0,0,1.625,0,3
1,76,80 04:21:33.513,9,131-13339000000,NRCellCU,4,58,88.25,40.25,0,12,0,0,4.8125,0,2
1,77,80 04:21:33.514,13,131-13331330000,NRCellCU,3,69.33333333333333,127,21,30,11,0,0,2.8333333333333335,0,2
1,78,80 04:21:33.514,9,131-13339000000,NRCellCU,4,97,43.5,50.25,0,12,0,0,4.25,0,2
1,79,80 04:21:33.514,9,131-13339000000,NRCellCU,4,50.25,77,39.25,0,12,0,0,4.34375,0,2
1,80,80 04:21:33.514,2,131-13332000000,NRCellCU,2,61,93,51,30,9,0,0,0.5,0,9
1,81,80 04:21:33.515,9,131-13339000000,NRCellCU,4,97,109,36.75,0,12,0,0,4.65625,0,2
1,82,80 04:21:33.515,11,131-13331310000,NRCellCU,0,0,0,0,0,0,0,0,0,0,0
