Index,EntryIndex,Timestamp,ServingCellID,NeighborCellID,Neighbor_Avg_RSRP,Neighbor_Avg_RSRQ,Neighbor_Avg_SINR
1,3,80 01:33:00.850,5,8,0,0,17
2,3,80 01:33:00.850,5,6,0,0,4.5
3,3,80 01:33:00.850,5,2,0,0,4
4,3,80 01:33:00.850,5,3,0,0,0
5,3,80 01:33:00.850,5,4,0,0,0
6,3,80 01:33:00.850,5,9,0,0,4.5
7,3,80 01:33:00.850,5,12,0,0,0
8,3,80 01:33:00.850,5,13,0,0,10
9,3,80 01:33:00.850,5,15,0,0,0
10,3,80 01:33:00.850,5,14,0,0,0
1,4,80 04:21:33.489,13,5,0,0,10
2,4,80 04:21:33.489,13,8,0,0,6
3,4,80 04:21:33.489,13,6,0,0,0
4,4,80 04:21:33.489,13,9,0,0,0
5,4,80 04:21:33.489,13,4,0,0,0
6,4,80 04:21:33.489,13,10,0,0,0
7,4,80 04:21:33.489,13,14,0,0,0
8,4,80 04:21:33.489,13,3,0,0,0
1,5,80 04:21:33.490,8,11,0,0,15
2,5,80 04:21:33.490,8,2,0,0,3
3,5,80 04:21:33.490,8,5,0,0,0
4,5,80 04:21:33.490,8,15,0,0,0
5,5,80 04:21:33.490,8,3,0,0,0
6,5,80 04:21:33.490,8,4,0,0,0
7,5,80 04:21:33.490,8,13,0,0,0
8,5,80 04:21:33.490,8,7,0,0,0
1,6,80 04:21:33.490,13,5,0,0,24.5
2,6,80 04:21:33.490,13,3,0,0,1
3,6,80 04:21:33.490,13,9,0,0,0
4,6,80 04:21:33.490,13,6,0,0,0.5
5,6,80 04:21:33.490,13,8,0,0,6
6,6,80 04:21:33.490,13,4,0,0,0
7,6,80 04:21:33.490,13,10,0,0,0
8,6,80 04:21:33.490,13,7,0,0,0
9,6,80 04:21:33.490,13,12,0,0,0
1,8,80 04:21:33.491,9,5,0,0,5.333333333333333
2,8,80 04:21:33.491,9,10,0,0,0
3,8,80 04:21:33.491,9,2,0,0,0
4,8,80 04:21:33.491,9,3,0,0,11
5,8,80 04:21:33.491,9,13,0,0,0
6,8,80 04:21:33.491,9,8,0,0,0
7,8,80 04:21:33.491,9,14,0,0,1.6666666666666667
8,8,80 04:21:33.491,9,15,0,0,0
9,8,80 04:21:33.491,9,6,0,0,8.5
10,8,80 04:21:33.491,9,7,0,0,0
11,8,80 04:21:33.491,9,12,0,0,0
1,10,80 04:21:33.493,9,6,0,0,11.5
2,10,80 04:21:33.493,9,14,0,0,0
3,10,80 04:21:33.493,9,8,0,0,0
4,10,80 04:21:33.493,9,7,0,0,0
5,10,80 04:21:33.493,9,5,0,0,2
6,10,80 04:21:33.493,9,10,0,0,0
7,10,80 04:21:33.493,9,2,0,0,0
8,10,80 04:21:33.493,9,13,0,0,0
9,10,80 04:21:33.493,9,3,0,0,15
10,10,80 04:21:33.493,9,11,0,0,0
1,12,80 04:21:33.493,9,5,0,0,14.75
2,12,80 04:21:33.493,9,3,0,0,15.5
3,12,80 04:21:33.493,9,10,0,0,0.5
4,12,80 04:21:33.493,9,13,0,0,0
5,12,80 04:21:33.493,9,14,0,0,1.6666666666666667
6,12,80 04:21:33.493,9,2,0,0,5.25
7,12,80 04:21:33.493,9,4,0,0,0
8,12,80 04:21:33.493,9,7,0,0,0
9,12,80 04:21:33.493,9,6,0,0,15
10,12,80 04:21:33.493,9,8,0,0,0
11,12,80 04:21:33.493,9,11,0,0,0
12,12,80 04:21:33.493,9,15,0,0,0
1,13,80 04:21:33.493,5,13,0,0,27.5
2,13,80 04:21:33.493,5,3,0,0,13.5
3,13,80 04:21:33.493,5,8,0,0,5.5
4,13,80 04:21:33.493,5,9,0,0,6
5,13,80 04:21:33.493,5,11,0,0,0
